Crypto,Significance,TimeOfTweet,PriceAt 2021-03-18 01:23:14.959032,PriceAt 2021-03-18 01:53:29.660000,PriceAt 2021-03-18 01:54:44.580347,PriceAt 2021-03-18 01:56:02.500014,PriceAt 2021-03-18 01:57:25.107237,PriceAt 2021-03-18 01:58:38.303008,PriceAt 2021-03-18 01:59:53.405263,PriceAt 2021-03-18 02:01:10.004480,PriceAt 2021-03-18 02:02:27.947411,PriceAt 2021-03-18 02:03:43.343556
"('BTC', 'Bitcoin')",705.875,2021-03-17 20:11:47,59088,58982,58982,58982,58982,58982,58982,59102,58982,58982
"('ETH', 'Ethereum')",222.9,2021-03-17 20:11:47,1820,1823,1820,1820,1820,1820,1820,1823,1820,1818
"('BT', 'BT.Finance')",134.2,2021-03-17 20:11:47,0,0,0,0,0,0,0,0,0,0
"('LQD', 'Liquid')",128.5,2021-03-17 20:11:47,30,30,30,30,30,30,30,30,30,30
"('LQBTC', 'Liquid Bitcoin')",128.5,2021-03-17 20:11:47,0,0,0,0,0,0,0,0,0,0
"('LIVE', 'Live Stars')",112.09090909090908,2021-03-17 20:11:47,0,0,0,0,0,0,0,0,0,0
"('BSC', 'BowsCoin')",99.0,2021-03-17 20:11:47,0,0,0,0,0,0,0,0,0,0
"('BS', 'BlackShadowCoin')",99.0,2021-03-17 20:11:47,0,0,0,0,0,0,0,0,0,0
"('AV', 'Avatar Coin')",95.2,2021-03-17 20:11:47,0,0,0,0,0,0,0,0,0,0
"('AVAX', 'Avalanche')",95.2,2021-03-17 20:11:47,32,32,32,32,32,32,32,32,32,32
"('AVA', 'Travala')",95.2,2021-03-17 20:11:47,4,4,4,4,4,4,4,4,4,4
"('D', 'Denarius')",86.0,2021-03-17 20:11:47,0,0,0,0,0,0,0,0,0,0
"('GAS', 'Gas')",86.0,2021-03-17 20:11:47,12,12,12,12,12,12,12,12,12,12
"('DEX', 'DEX')",86.0,2021-03-17 20:11:47,0,0,0,0,0,0,0,0,0,0
"('U', 'Ucoin')",46.199999999999996,2021-03-17 20:11:47,0,0,0,0,0,0,0,0,0,0
"('KISC', 'Kaiser')",22.349999999999994,2021-03-17 20:11:47,0,0,0,0,0,0,0,0,0,0
"('KNC', 'Kyber Network')",10.5,2021-03-17 20:11:47,2,2,2,3,3,3,3,3,3,3
"('ATH', 'Atheios')",10.5,2021-03-17 20:11:47,0,0,0,0,0,0,0,0,0,0
"('CTO', 'Crypto')",7.8374999999999995,2021-03-17 20:11:47,0,0,0,0,0,0,0,0,0,0
"('HT', 'Huobi Token')",3.0500000000000003,2021-03-17 20:11:47,14,14,14,14,14,14,14,14,14,14
"('ETH2', 'Eth 2.0 Staking by Pool-X')",-65.5,2021-03-17 20:11:47,0,0,0,0,0,0,0,0,0,0
